SURFACE_TY,CONDITION,WIDTH,the_geom,CANOPY,PMAID,TRAIL_NUM,TRAIL_ID,PMA_NAME,SHAPE_LENG,GRADE_TYPE,DISTRICT,GRADE_PERC,TRAIL_CLAS,SHAPE_LE_1,DATE_TIME,PICTURES,FIELD_NOTE,GIS_LENGTH,GIS_EDT_DT,AMWOID,SHAPE_LEN
Concrete,Good,5,"MULTILINESTRING ((-122.28842486071413 47.726260900790365, -122.28840306302281 47.7262761724383, -122.28837791589919 47.72628506101831, -122.28836204625958 47.72628526349412, -122.28833330035766 47.72627920445029, -122.28830419707576 47.7262602974629, -122.28829108339905 47.72624546854016, -122.28828425391926 47.726228420208734, -122.28827066020652 47.72619646104678, -122.28826335061717 47.7261622797793, -122.28826281046699 47.72614300477798, -122.28825556624906 47.72611096550838, -122.2882516714808 47.72608531110449, -122.28824442184585 47.72605326830497, -122.28824382177767 47.72603185483402, -122.28824010702586 47.726012623931375, -122.28823016814013 47.72599775449962))",Open,4167,1,4167-01,CEDAR PARK,134.36987789,Flat,NE,3,1,134.36987789,11/04/2016 12:00:00 AM +0000,-,-,134.37014663,02/08/2017 12:00:00 AM +0000,TRAIL-4002,0
Bridge,Worn,2,"MULTILINESTRING ((-122.31659794502642 47.723743661114526, -122.31658904801849 47.72371839821571, -122.3165741663835 47.72368343450264, -122.3165652167115 47.72366020088553, -122.31656425037907 47.723625300870374))",Low,4479,6,4479-6,LICORICE FERN NA ON TC,43.54479777,Flat,NE,3,1,43.54479777,11/04/2016 12:00:00 AM +0000,-,-,44.22996027,02/20/2017 12:00:00 AM +0000,TRAIL-3001,0
Soil,Good,1,"MULTILINESTRING ((-122.3107298519894 47.70386271617261, -122.31072901910983 47.70387883610105, -122.3107454871383 47.703897194006345, -122.31077041025262 47.70391027052604, -122.31082125029381 47.70393191087008, -122.3108653501771 47.70393310069074, -122.31092518961418 47.70393205068317, -122.31097770972477 47.70390748102494, -122.31103241048413 47.70390199057563, -122.31106176949767 47.70391696076185, -122.31111442010375 47.70392026075224, -122.3111741500594 47.70391822067389, -122.31122852974545 47.70390627066735, -122.3112316993823 47.70388371078814, -122.3112712796565 47.70388587124151, -122.3113002601727 47.7039724508317, -122.31133153934299 47.70399031075815, -122.31131055948538 47.70401943114499, -122.31135837982325 47.70401779097549, -122.31141047061607 47.70399940063755, -122.31146492023896 47.70399679105807, -122.31151283755483 47.70401349780733, -122.31155474964932 47.70403938096477, -122.31156214744094 47.70405515847488, -122.31159058065693 47.704075988832976, -122.31161983052282 47.70405958134609, -122.31164389056111 47.70405946094362, -122.31165912946892 47.704079291113885, -122.31167807002491 47.70409980105319, -122.3116992102212 47.70411654102627, -122.31171655940956 47.70413241076998, -122.31175213980544 47.70415501056915, -122.31177494040266 47.70415676054934, -122.31183933937561 47.70416133100479, -122.31189502944264 47.704166710674166, -122.31196331964779 47.704197860550025, -122.3120208599245 47.704215470511784, -122.3120446996223 47.70423223118088, -122.31207624970699 47.70424831068366, -122.31213194948745 47.70427804048884, -122.31217652005527 47.70429926049411, -122.31220446965904 47.70430253048591, -122.3122111506231 47.70434667085328, -122.31221165992021 47.70439222089628, -122.31221242987574 47.70441636067291, -122.31220703057012 47.70443502095613, -122.31219301038473 47.704454260870996, -122.31219601026267 47.704509490686, -122.31223646996146 47.70455436051258, -122.31226142000104 47.70456583057925, -122.31227804036938 47.704591571113525, -122.31226103017998 47.7046086808922, -122.3122457900675 47.70463001111782, -122.31226077037047 47.70465048058456, -122.31229262661999 47.70465694113292))",Open,416,16,416-16,THORNTON CREEK NA: 25TH/95TH,630.71818991,Steep,NE,8,2,630.71818991,11/03/2016 12:00:00 AM +0000,-,-,630.71945134,02/08/2017 12:00:00 AM +0000,TRAIL-7304,0
Gravel,Overgrown,4,"MULTILINESTRING ((-122.3898492200878 47.53596145266773, -122.3898949118926 47.535928235234685, -122.38994901931152 47.53590186646327))",Open,4453,4,4453-4,SOLSTICE PARK,18.22286324,Gradual,SW,4,1,18.22286324,11/03/2016 12:00:00 AM +0000,-,used as access for d exempt licnsd vehicles,33.02581519,02/23/2017 12:00:00 AM +0000,TRAIL-6904,0
Gravel,Overgrown,5,"MULTILINESTRING ((-122.38985221564124 47.53595913738816, -122.38975398028118 47.5360536092062, -122.38972133520332 47.536155640762026, -122.3897142878422 47.53617890345394, -122.38971235024196 47.536229360090715, -122.38970499332852 47.53630030157681, -122.3896806450127 47.53633777956729, -122.38964075684613 47.536385990577685, -122.38960971171473 47.53643703481142, -122.38958455240731 47.53648975268378, -122.38957673224702 47.53654937156718, -122.38959281318267 47.53661182076484, -122.3896224955906 47.53667086751885, -122.38967550343948 47.53673143540301, -122.38967369999082 47.536733990741006, -122.38971283610086 47.53676493514639, -122.38976009476761 47.536794510606356, -122.38979713721776 47.53681104203445, -122.38985166358992 47.53685732553677, -122.38988188012905 47.5368957257891, -122.38990594146055 47.53694358261484))",Open,4453,1,4453-1,SOLSTICE PARK,400.72651135,Gradual,SW,4,1,400.72651135,11/03/2016 12:00:00 AM +0000,-,severe storm water erosion damage,400.72731281,02/08/2017 12:00:00 AM +0000,TRAIL-6904,0
Gravel,Worn,8,"MULTILINESTRING ((-122.39315436995591 47.53110873913739, -122.3931568455307 47.53110690590447, -122.39316815484094 47.5311296721187, -122.39319461884014 47.53115150247079, -122.39322501196604 47.53116933672467, -122.39324086787992 47.531191827297505, -122.39324691250985 47.5312246911824, -122.3932518380111 47.53122016772442))",High,460,4,460-4,LINCOLN PARK,53.12668194,Gradual,SW,3,1,53.12668194,11/03/2016 12:00:00 AM +0000,-,-,53.1267882,02/08/2017 12:00:00 AM +0000,TRAIL-4309,0
Concrete,Good,3,"MULTILINESTRING ((-122.25865840086145 47.681658714716995, -122.25776180948822 47.68167788699513))",Open,398,223,398-223,WARREN G. MAGNUSON PARK,220.96679382,Flat,NE,0,1,220.96679382,10/27/2016 12:00:00 AM +0000,-,-,220.96723575,02/08/2017 12:00:00 AM +0000,TRAIL-7801,0
Soil,Eroded,2,"MULTILINESTRING ((-122.30962089791105 47.70210521389109, -122.3095564396553 47.70221343658671, -122.30955500640756 47.7022222298428, -122.30952843894386 47.702289585977574, -122.30952684830338 47.702314974386496, -122.30949272425434 47.702374255508325, -122.30950626541261 47.702385647202306, -122.30942693401369 47.7024889949776, -122.30938955098121 47.7025199376991, -122.30934439652133 47.702504947627304, -122.30933405485784 47.702519059514984))",Closed,416,1,416-1,THORNTON CREEK PARK #2,184.15052666,Moderate,NE,5,2,184.15052666,11/03/2016 12:00:00 AM +0000,-,-,184.15089495,02/08/2017 12:00:00 AM +0000,TRAIL-7401,0
Soil,Good,1,"MULTILINESTRING ((-122.30834932085554 47.70213969501831, -122.30825740451715 47.70211806153914, -122.30828371091937 47.702060182778965, -122.30838525390085 47.701957676492874, -122.30840495727335 47.70193965713425, -122.30839740187471 47.70189045685826, -122.3084143913322 47.70185744660819, -122.30839606439032 47.70180267236606, -122.3083809726131 47.701768574031185, -122.3083335403333 47.70172613208458, -122.30832546415056 47.70168876467698, -122.3083119890311 47.7016183915595, -122.30824544544 47.701558302941784, -122.3081370031052 47.701505283884124))",Open,416,7,416-7,THORNTON CREEK NA: 25TH/95TH,277.18699962,Moderate,NE,5,2,277.18699962,11/03/2016 12:00:00 AM +0000,-,-,282.84380753,02/20/2017 12:00:00 AM +0000,TRAIL-7301,0
Soil,Worn,3,"MULTILINESTRING ((-122.30890751374181 47.70286229142371, -122.3090020247892 47.70290103627512, -122.30905659853852 47.70292276848805, -122.30912336795389 47.70293723864704, -122.30921277292398 47.70295780195671, -122.30927275231028 47.70299435874885, -122.30937120935954 47.70301568363975, -122.30947872071755 47.70304005508868, -122.30953726842465 47.70307593219559, -122.30959187070457 47.70310995411765, -122.30971611099545 47.70316543635272, -122.30975483768914 47.70318405216173, -122.3097917209913 47.703212596426205, -122.30991440656635 47.70324684464633, -122.31001900859553 47.70329504769242, -122.31009212073796 47.703327131153365))",High,416,2,416-2,THORNTON CREEK PARK #2,342.1601205,Moderate,NE,5,2,342.1601205,11/03/2016 12:00:00 AM +0000,-,-,341.9512506,02/20/2017 12:00:00 AM +0000,TRAIL-7404,0
Stairs,Good,4,"MULTILINESTRING ((-122.39010904722882 47.536519492764455, -122.39016981536224 47.53650715220117, -122.39020459932271 47.53648997951989, -122.3902232130029 47.536477420348234, -122.39043147290133 47.53635705976096, -122.39061047344133 47.53628019438717, -122.39063143353532 47.53627632122397, -122.39064556011962 47.53627796103845, -122.39065594508494 47.5362838443718))",Open,4453,9,4453-9,SOLSTICE PARK,165.03414603,Steep,SW,8,1,165.03414603,11/03/2016 12:00:00 AM +0000,-,"trail poor in spots, has tall weeds growing",165.0344761,02/08/2017 12:00:00 AM +0000,TRAIL-6901,0
Soil,Good,2,"MULTILINESTRING ((-122.31039272063644 47.70340568211973, -122.31045807073997 47.70343525348987, -122.31052510959982 47.70345269342658, -122.31058444272905 47.70349866593649, -122.31064387022512 47.70353356761806, -122.31066811246603 47.703566288547, -122.31069465199556 47.70359028326636, -122.3107400326715 47.703615006256896))",Open,416,14,416-14,THORNTON CREEK NA: 25TH/95TH,117.32465301,Moderate,NE,5,2,117.32465301,11/03/2016 12:00:00 AM +0000,-,-,117.32488766,02/08/2017 12:00:00 AM +0000,TRAIL-7304,0
Asphalt,Good,4,"MULTILINESTRING ((-122.27513680960811 47.696835393340685, -122.27525411088598 47.69686942714249, -122.27535754349294 47.69689419686721, -122.27542481519657 47.696919909804315, -122.27544266595825 47.696957074603716, -122.2754659121747 47.696994625427905))",Open,347,14,347-14,MATTHEWS BEACH PARK,106.42532777,Gradual,NE,3,1,106.42532777,11/02/2016 12:00:00 AM +0000,-,-,106.60077797,02/20/2017 12:00:00 AM +0000,TRAIL-5303,0
Asphalt,Good,3,"MULTILINESTRING ((-122.274294414197 47.69743023784495, -122.27426973796538 47.69737046155684, -122.27425740499994 47.69725270164666, -122.27423972269428 47.697159899273174, -122.27418743731769 47.697160290368195, -122.27410477960771 47.69716346368243, -122.27403191626907 47.69713618699052, -122.27397573231744 47.697038186716426))",Open,347,17,347-17,MATTHEWS BEACH PARK,177.97354118,Gradual,NE,3,1,177.97354118,11/02/2016 12:00:00 AM +0000,-,-,191.940159,02/20/2017 12:00:00 AM +0000,TRAIL-5305,0
Asphalt,Good,7,"MULTILINESTRING ((-122.27315551413832 47.69668295236762, -122.27322409210764 47.69671493193484, -122.27329116734154 47.69673086463622, -122.27336175096889 47.696720689997605, -122.27341924212276 47.696705786056725))",Open,347,20,347-20,MATTHEWS BEACH PARK,70.19603666,Flat,NE,0,1,70.19603666,11/02/2016 12:00:00 AM +0000,-,-,70.9744856,02/20/2017 12:00:00 AM +0000,TRAIL-5301,0
Gravel,Worn,2,"MULTILINESTRING ((-122.27281567336675 47.69452276048953, -122.27280883091186 47.69452337497, -122.2724053134656 47.694549520207275, -122.27231575768944 47.694528255603466, -122.2722636226421 47.69444238390156, -122.27224854957281 47.69433364983741, -122.27223688279149 47.69423912499866, -122.27211700144143 47.69410259789183, -122.27211588820089 47.69400793981495, -122.27222141197764 47.69395265282191, -122.27249162255875 47.693909541225885))",Open,347,1,347-1,MATTHEWS BEACH PARK,426.89110099,Flat,NE,0,1,426.89110099,11/02/2016 12:00:00 AM +0000,-,-,426.89195477,02/08/2017 12:00:00 AM +0000,TRAIL-5302,0
Gravel,Good,4,"MULTILINESTRING ((-122.2729911443125 47.69479465879063, -122.2729838195624 47.694730269468245, -122.27294910872686 47.69469698760976, -122.27293869590844 47.69466262068722, -122.27293028965468 47.69461055413791, -122.27292543407457 47.69458126718412, -122.27292607121964 47.69457901555431))",Open,347,4,347-4,MATTHEWS BEACH PARK,80.06450675,Flat,NE,0,1,80.06450675,11/02/2016 12:00:00 AM +0000,-,-,81.88990223,02/20/2017 12:00:00 AM +0000,TRAIL-5301,0
Asphalt,Good,5,"MULTILINESTRING ((-122.27342805116812 47.696283411725986, -122.27342307433229 47.69637305956618, -122.27346952553799 47.69642214001879, -122.27346823614332 47.69642196469758, -122.27348458279597 47.69643300125147))",Open,347,10,347-10,MATTHEWS BEACH PARK,58.69937661,Gradual,NE,3,1,58.69937661,11/02/2016 12:00:00 AM +0000,-,-,59.98594093,02/20/2017 12:00:00 AM +0000,TRAIL-5303,0
Gravel,Good,5,"MULTILINESTRING ((-122.31059111352371 47.672931456163376, -122.31058707236772 47.67293210769901, -122.31033748063763 47.672845629346796, -122.31030419991227 47.672817313168224))",High,391,49,391-49,RAVENNA PARK,83.3220636,Flat,NE,1,1,83.3220636,10/31/2016 12:00:00 AM +0000,-,-,83.32223025,02/08/2017 12:00:00 AM +0000,TRAIL-6403,0
Gravel,Good,5,"MULTILINESTRING ((-122.30404050550547 47.67156111833023, -122.30399151584528 47.671583597541144, -122.30397484922933 47.67160441982302, -122.30392971586443 47.67162329490675, -122.30386884193761 47.67162408069797, -122.30381459777897 47.67162593776648, -122.30376260938387 47.67163573524582, -122.30371730949318 47.671648916129065, -122.30367044324137 47.671660447553435))",Open,391,64,391-64,RAVENNA PARK,101.44212893,Steep,NE,10,1,101.44212893,10/31/2016 12:00:00 AM +0000,-,-,102.42632036,02/20/2017 12:00:00 AM +0000,TRAIL-6403,0
Gravel,Good,4,"MULTILINESTRING ((-122.30443207673166 47.67216070871995, -122.304358628984 47.67214756130306))",High,391,88,391-88,RAVENNA PARK,18.72029675,Flat,NE,2,1,18.72029675,10/31/2016 12:00:00 AM +0000,-,-,18.7203342,02/08/2017 12:00:00 AM +0000,TRAIL-6401,0
Gravel,Good,5,"MULTILINESTRING ((-122.30381705594775 47.67178451353873, -122.30379365360743 47.6717644657658, -122.30373589488299 47.67171380005911, -122.30369714740122 47.67168949371043, -122.30367044324137 47.671660447553435))",High,391,19,391-19,RAVENNA PARK,58.13752175,Flat,NE,2,1,58.13752175,10/31/2016 12:00:00 AM +0000,-,-,58.13763802,02/08/2017 12:00:00 AM +0000,TRAIL-6401,0
Soil,Worn,1,"MULTILINESTRING ((-122.302422111508 47.66856064969414, -122.30248031222567 47.6685439609033, -122.30251780102773 47.66856238249255, -122.3025443567173 47.6685655250453, -122.30257403507663 47.66856841771018, -122.30260918191566 47.66857315148422))",High,391,112,391-112,RAVENNA PARK,47.51668239,Steep,NE,8,2,47.51668239,10/31/2016 12:00:00 AM +0000,-,-,49.86255114,02/20/2017 12:00:00 AM +0000,TRAIL-6404,0
Gravel,Poor,8,"MULTILINESTRING ((-122.39742455506067 47.528538821435085, -122.39730021940969 47.528611483768564, -122.39724778124626 47.528617903856336, -122.39720145242174 47.52864240681884, -122.39708918097487 47.52871237490132, -122.39701037938828 47.52873406721397, -122.39696633203997 47.528767149871584, -122.39692798873823 47.528787943417285, -122.3968222226381 47.5288217899757, -122.39673668820612 47.52885522847436, -122.39666891015872 47.52889013724926, -122.39653301948823 47.528931937809475, -122.39636597487397 47.528998032033975, -122.39611426576552 47.529025402273895, -122.39603125478217 47.52904122778013))",Open,460,17,460-17,LINCOLN PARK,398.63946417,Gradual,SW,4,1,398.63946417,10/28/2016 12:00:00 AM +0000,-,trail worn in spots; high canopy in spots,398.64026146,02/08/2017 12:00:00 AM +0000,TRAIL-4333,0
Gravel,Good,5,"MULTILINESTRING ((-122.30915046215722 47.672521433940524, -122.30916293570644 47.67253185615544, -122.30924547925923 47.67259719444432, -122.30926937436392 47.67261663651038, -122.30931716216496 47.672637565527396, -122.30936444737695 47.6726766261931, -122.30950993316237 47.67276042993048, -122.30956955872585 47.672787203095076, -122.30966481261957 47.672871401148974, -122.30972514076716 47.672904895044084, -122.30978728829288 47.67294907507761, -122.3098213963146 47.67297065346727, -122.30988630678524 47.673022723124376, -122.3099498260542 47.67307931148109, -122.31006636801655 47.67312681204844, -122.31012603938831 47.673155172132475, -122.31018888240226 47.67318794769414, -122.31025109861338 47.67321666155317, -122.31030877293509 47.67324607477781, -122.31037277908487 47.6732841041245, -122.31050594661787 47.67334522816448, -122.31057373490846 47.67337348277531, -122.31066352269428 47.673407922002255, -122.31074108546176 47.67342293897935, -122.31080699160019 47.67343862434675, -122.31089152733313 47.673448964625656, -122.31106019502667 47.67343778096411, -122.31126267095007 47.673419945827106, -122.31131004108647 47.673408148356046, -122.31138721567096 47.673391853014344, -122.31172941101022 47.67332618786014))",Open,391,73,391-73,RAVENNA PARK,768.48524494,Flat,NE,1,1,768.48524494,10/31/2016 12:00:00 AM +0000,-,-,768.48678191,02/08/2017 12:00:00 AM +0000,TRAIL-6401,0
Gravel,Good,5,"MULTILINESTRING ((-122.31069263618764 47.672932538916896, -122.3106113239264 47.672928408030266, -122.31059111352371 47.672931456163376))",High,391,17,391-17,RAVENNA PARK,25.19135667,Gradual,NE,4,1,25.19135667,10/31/2016 12:00:00 AM +0000,-,-,25.19140705,02/08/2017 12:00:00 AM +0000,TRAIL-6403,0
Grass,Good,1,"MULTILINESTRING ((-122.25520873435747 47.67881239565392, -122.25517989346335 47.67877828962454, -122.2551669996709 47.67873156756493, -122.2551751502159 47.67867756790142, -122.25517438336139 47.678625100867706, -122.2552043506489 47.67861260134624, -122.2551947328205 47.67857003408934, -122.25517270000448 47.67852628407107))",Open,398,209,398-209,WARREN G. MAGNUSON PARK,111.84081062,Flat,NE,0,2,111.84081062,10/27/2016 12:00:00 AM +0000,-,-,111.8410343,02/08/2017 12:00:00 AM +0000,TRAIL-7820,0
Gravel,Poor,8,"MULTILINESTRING ((-122.39447623312562 47.52891103456459, -122.39451493807303 47.52907121312538, -122.39452489816108 47.52915029524719, -122.39453599725131 47.529166038161634, -122.39455513060025 47.52926414719442, -122.39455066323494 47.52935152598222, -122.39455377592927 47.52938785765967, -122.39453453693334 47.52942136940325, -122.39451307267056 47.52946506666511, -122.39450180637357 47.52962957358446, -122.39448647226975 47.529692079582055, -122.39446868528918 47.52972338617581, -122.394409552745 47.52977513355744))",High,460,22,460-22,LINCOLN PARK,324.38922302,Gradual,SW,3,1,324.38922302,10/28/2016 12:00:00 AM +0000,-,worn in spots,324.9856196,02/23/2017 12:00:00 AM +0000,TRAIL-4334,0
Gravel,Poor,8,"MULTILINESTRING ((-122.39547521842394 47.52933328970371, -122.39545760561687 47.52933661668845, -122.39540174868263 47.52934719599583, -122.39534513160342 47.529366183708085, -122.39529878065491 47.52938999976517, -122.39524673166267 47.52940943830723, -122.39520481278363 47.52942916667955, -122.39509888290755 47.529542018745246, -122.3950527126462 47.52957187318289, -122.39490661046592 47.52961077050096, -122.39465363693915 47.529697409396, -122.39426057202247 47.52982088962394))",High,460,23,460-23,LINCOLN PARK,356.53098116,Gradual,SW,3,1,356.53098116,10/28/2016 12:00:00 AM +0000,-,open canopy in spots; worn gravel in spots,356.53169422,02/08/2017 12:00:00 AM +0000,TRAIL-4333,0
Gravel,Good,4,"MULTILINESTRING ((-122.2890797956343 47.601160273547826, -122.28911788331595 47.601170441022475, -122.28916029339295 47.60118240274725, -122.28929029391189 47.601187418646134, -122.28940019821216 47.60121638791846, -122.28947149546991 47.60129040653324, -122.28957177773853 47.601394982290145, -122.28967699013252 47.601460408206805))",High,367,4,367-4,LESCHI PARK,195.61416499,Steep,CE,9,1,195.61416499,11/07/2016 12:00:00 AM +0000,-,-,195.61455622,02/08/2017 12:00:00 AM +0000,TRAIL-4101,0
Concrete,Worn,8,"MULTILINESTRING ((-122.25295605947349 47.68104499143401, -122.25296609714717 47.68116646279327))",Open,398,1,398-1,WARREN G. MAGNUSON PARK,42.63709283,Flat,NE,0,1,42.63709283,10/27/2016 12:00:00 AM +0000,-,-,44.37765055,02/23/2017 12:00:00 AM +0000,TRAIL-7819,0
Stairs,Good,5,"MULTILINESTRING ((-122.25580773450795 47.68313319816763, -122.25556352141096 47.68306464918494))",Open,398,4,398-4,WARREN G. MAGNUSON PARK,65.14478423,Steep,NE,9,1,65.14478423,10/27/2016 12:00:00 AM +0000,-,-,65.14491452,02/08/2017 12:00:00 AM +0000,TRAIL-7823,0
Grass,Good,1,"MULTILINESTRING ((-122.25620954630202 47.67891342186771, -122.2563296636728 47.67898219675759, -122.25638059765733 47.67899023446398, -122.25642357387822 47.679013006951386, -122.25650435322449 47.67902131234122, -122.2565795607679 47.67903283313551, -122.25668501108947 47.67905480263946, -122.25678409530695 47.67908507652093, -122.25685930355728 47.67910785008223, -122.25692376757364 47.679119101861765, -122.25697629327048 47.67913383754813, -122.25702364665466 47.67914910922404))",Open,398,195,398-195,WARREN G. MAGNUSON PARK,203.34072809,Flat,NE,0,2,203.34072809,10/27/2016 12:00:00 AM +0000,-,-,221.880331,02/23/2017 12:00:00 AM +0000,TRAIL-7816,0
